service_request_id,requested_date,updated_date,closed_date,status_description,source,service_name,agency_responsible,address,comm_code,comm_name,location_type,longitude,latitude,point
24-00481193,2024-06-20 0:00,2024-06-21 0:00,2024-06-21 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,CAM,CAMBRIAN HEIGHTS,Community Centrepoint,-114.089379,51.08433917,POINT (-114.08937896523537 51.08433917204962)
24-00277482,2024-04-17 0:00,2024-04-17 0:00,2024-04-17 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,THO,THORNCLIFFE,Community Centrepoint,-114.0687804,51.10310303,POINT (-114.06878043292588 51.10310302976012)
24-00869542,2024-11-13 0:00,2024-11-13 0:00,2024-11-13 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,COV,COVENTRY HILLS,Community Centrepoint,-114.0531434,51.16490633,POINT (-114.05314340697439 51.16490633029946)
24-00052760,2024-01-22 0:00,2024-01-23 0:00,2024-01-23 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,CAP,CAPITOL HILL,Community Centrepoint,-114.0946312,51.07266528,POINT (-114.09463117970881 51.07266527843247)
24-00037005,2024-01-16 0:00,2024-01-17 0:00,2024-01-17 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,DNC,DOWNTOWN COMMERCIAL CORE,Community Centrepoint,-114.0695937,51.04727444,POINT (-114.06959371115288 51.047274435217574)
24-00039731,2024-01-16 0:00,2024-01-17 0:00,2024-01-17 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,12A,12A,Community Centrepoint,-113.8932315,50.96505615,POINT (-113.8932315214779 50.96505615111287)
24-00042549,2024-01-17 0:00,2024-01-17 0:00,2024-01-17 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,LKB,LAKE BONAVISTA,Community Centrepoint,-114.0513367,50.93980339,POINT (-114.05133665127042 50.939803390308995)
24-00269461,2024-04-15 0:00,2024-04-15 0:00,2024-04-15 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,WSP,WEST SPRINGS,Community Centrepoint,-114.2066863,51.05977297,POINT (-114.20668628482576 51.05977296921509)
24-00269392,2024-04-15 0:00,2024-04-16 0:00,2024-04-16 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,RIC,RICHMOND,Community Centrepoint,-114.1184203,51.02971029,POINT (-114.11842028929458 51.02971029482691)
24-00274694,2024-04-16 0:00,2024-04-16 0:00,2024-04-16 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,SNA,SUNALTA,Community Centrepoint,-114.1014859,51.04295989,POINT (-114.10148594325165 51.04295989234576)
24-00486720,2024-06-22 0:00,2024-06-22 0:00,2024-06-22 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,LKB,LAKE BONAVISTA,Community Centrepoint,-114.0512956,50.939599,POINT (-114.05129556068408 50.93959899764023)
24-00044422,2024-01-18 0:00,2024-01-18 0:00,2024-01-18 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,ST1,STONEY 1,Community Centrepoint,-114.0246985,51.16118788,POINT (-114.02469848732257 51.16118788060755)
24-00283339,2024-04-19 0:00,2024-05-02 0:00,2024-05-02 0:00,Closed,Phone,Roads - Streetlight - General Inquiry,OS - Mobility,,MDH,MEDICINE HILL,Community Centrepoint,-114.2001467,51.07918367,POINT (-114.20014671121052 51.07918367485378)
24-00042854,2024-01-18 0:00,2024-01-18 0:00,2024-01-18 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,GRI,GREENVIEW INDUSTRIAL PARK,Community Centrepoint,-114.0490587,51.0865182,POINT (-114.04905866998868 51.08651820065337)
24-00488801,2024-06-23 0:00,2024-07-29 0:00,2024-07-29 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,DOV,DOVER,Community Centrepoint,-113.993054,51.02256772,POINT (-113.99305400906283 51.02256772250409)
24-00488887,2024-06-23 0:00,2024-06-23 0:00,2024-06-23 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,DNW,DOWNTOWN WEST END,Community Centrepoint,-114.0877794,51.04796914,POINT (-114.08777935920926 51.047969140191825)
24-00048652,2024-01-19 0:00,2024-01-19 0:00,2024-01-19 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,BNF,BANFF TRAIL,Community Centrepoint,-114.1151284,51.07421633,POINT (-114.11512839716917 51.07421633024228)
24-00048742,2024-01-19 0:00,2024-01-19 0:00,2024-01-19 0:00,Closed,App,Roads - Streetlight Damage,OS - Mobility,,ING,INGLEWOOD,Community Centrepoint,-114.0191258,51.03414052,POINT (-114.01912581291103 51.03414052350448)
24-00859862,2024-11-08 0:00,2024-12-05 0:00,2024-12-05 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,MCT,MCKENZIE TOWNE,Community Centrepoint,-113.961353,50.91714876,POINT (-113.96135301049618 50.91714876132651)
24-00276248,2024-04-17 0:00,2024-04-17 0:00,2024-04-17 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,RAM,RAMSAY,Community Centrepoint,-114.0425323,51.03641206,POINT (-114.04253229079222 51.03641206367581)
24-00276997,2024-04-17 0:00,2024-04-17 0:00,2024-04-17 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,OAK,OAKRIDGE,Community Centrepoint,-114.129614,50.9696628,POINT (-114.12961404738564 50.969662798794815)
24-00276152,2024-04-17 0:00,2024-04-17 0:00,2024-04-17 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,EDG,EDGEMONT,Community Centrepoint,-114.1439532,51.12458785,POINT (-114.14395321026963 51.12458784624158)
24-00276390,2024-04-17 0:00,2024-04-17 0:00,2024-04-17 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,MON,MONTGOMERY,Community Centrepoint,-114.1622482,51.07107614,POINT (-114.16224821352257 51.071076143066776)
24-00279107,2024-04-17 0:00,2024-04-17 0:00,2024-04-17 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,OGD,OGDEN,Community Centrepoint,-114.0124423,50.99187834,POINT (-114.01244227109757 50.991878337981746)
24-00507994,2024-06-28 0:00,2024-06-28 0:00,2024-06-28 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,TEM,TEMPLE,Community Centrepoint,-113.9467677,51.08879459,POINT (-113.94676773665904 51.08879458506016)
24-00061522,2024-01-25 0:00,2024-01-25 0:00,2024-01-25 0:00,Closed,Phone,Roads - Streetlight Damage,OS - Mobility,,BRD,BRIDGELAND/RIVERSIDE,Community Centrepoint,-114.0350798,51.05055069,POINT (-114.03507983816583 51.05055069436678)
24-00049890,2024-01-20 0:00,2024-01-20 0:00,2024-01-20 0:00,Closed,Other,Roads - Streetlight Damage,OS - Mobility,,SOV,SOUTHVIEW,Community Centrepoint,-113.9973392,51.03415221,POINT (-113.99733916298928 51.03415221260387)
24-00488831,2024-06-23 0:00,2024-06-24 0:00,2024-06-24 0:00,Closed,Other,Roads - Streetlight - General Inquiry,OS - Mobility,,CAM,CAMBRIAN HEIGHTS,Community Centrepoint,-114.089379,51.08433917,POINT (-114.08937896523537 51.08433917204962)
