comm_code,comm_name,total_requests,avg_days,fast_rate,slow_rate,equity_score
CAM,CAMBRIAN HEIGHTS,4,1.25,100.0%,0.0%,100.0%
THO,THORNCLIFFE,13,19.76923077,69.2%,30.8%,69.2%
COV,COVENTRY HILLS,8,27.125,50.0%,37.5%,62.5%
CAP,CAPITOL HILL,9,13.33333333,66.7%,33.3%,66.7%
DNC,DOWNTOWN COMMERCIAL CORE,16,11.1875,68.8%,31.3%,68.8%
12A,12A,2,0.5,100.0%,0.0%,100.0%
LKB,LAKE BONAVISTA,11,10.45454545,45.5%,36.4%,63.6%
WSP,WEST SPRINGS,8,9,75.0%,25.0%,75.0%
RIC,RICHMOND,7,2.571428571,85.7%,14.3%,85.7%
SNA,SUNALTA,7,11.85714286,71.4%,28.6%,71.4%
ST1,STONEY 1,2,0,100.0%,0.0%,100.0%
MDH,MEDICINE HILL,1,13,0.0%,0.0%,100.0%
GRI,GREENVIEW INDUSTRIAL PARK,3,0,100.0%,0.0%,100.0%
DOV,DOVER,5,12.6,40.0%,20.0%,80.0%
DNW,DOWNTOWN WEST END,5,30.6,20.0%,80.0%,20.0%
BNF,BANFF TRAIL,5,7,60.0%,40.0%,60.0%
ING,INGLEWOOD,17,27.94117647,23.5%,58.8%,41.2%
MCT,MCKENZIE TOWNE,5,9.4,40.0%,20.0%,80.0%
RAM,RAMSAY,3,13.33333333,33.3%,66.7%,33.3%
OAK,OAKRIDGE,34,33.32352941,26.5%,64.7%,35.3%
EDG,EDGEMONT,10,3,90.0%,10.0%,90.0%
MON,MONTGOMERY,11,4,54.5%,0.0%,100.0%
OGD,OGDEN,10,18.5,50.0%,50.0%,50.0%
TEM,TEMPLE,11,24.09090909,54.5%,36.4%,63.6%
BRD,BRIDGELAND/RIVERSIDE,18,26.33333333,44.4%,44.4%,55.6%
SOV,SOUTHVIEW,3,19.66666667,66.7%,33.3%,66.7%
BLN,BELTLINE,14,25.57142857,50.0%,50.0%,50.0%
DIS,DISCOVERY RIDGE,6,0.166666667,100.0%,0.0%,100.0%
HKS,HOTCHKISS,4,8.75,50.0%,25.0%,75.0%
GDL,GLENDALE,15,17.06666667,40.0%,26.7%,73.3%
NOL,NOLAN HILL,2,0,100.0%,0.0%,100.0%
CNS,CORNERSTONE,10,8,70.0%,30.0%,70.0%
MLI,MAYLAND,3,7,66.7%,33.3%,66.7%
SAD,SADDLE RIDGE,9,77.22222222,33.3%,44.4%,55.6%
HUN,HUNTINGTON HILLS,11,13.45454545,36.4%,18.2%,81.8%
BOW,BOWNESS,12,14.66666667,50.0%,41.7%,58.3%
BEL,BEL-AIRE,2,3.5,50.0%,0.0%,100.0%
SPH,SPRINGBANK HILL,19,12.15789474,57.9%,31.6%,68.4%
SIG,SIGNAL HILL,4,1.25,100.0%,0.0%,100.0%
12B,12B,1,61,0.0%,100.0%,0.0%
BED,BEDDINGTON HEIGHTS,8,2.75,87.5%,12.5%,87.5%
MCK,MCKENZIE LAKE,11,7.636363636,63.6%,27.3%,72.7%
EYA,ELBOYA,2,0,100.0%,0.0%,100.0%
CRE,CRESCENT HEIGHTS,4,23,50.0%,50.0%,50.0%
UND,UNIVERSITY DISTRICT,3,15.66666667,0.0%,33.3%,66.7%
STR,STRATHCONA PARK,3,3.666666667,66.7%,0.0%,100.0%
VIS,VISTA HEIGHTS,5,42,40.0%,60.0%,40.0%
FLN,FOREST LAWN,4,37.75,25.0%,75.0%,25.0%
SGH,SAGE HILL,14,2.5,64.3%,0.0%,100.0%
06A,06A,1,2,100.0%,0.0%,100.0%
MOP,MOUNT PLEASANT,5,2.8,80.0%,0.0%,100.0%
UMR,UPPER MOUNT ROYAL,8,20.875,50.0%,50.0%,50.0%
HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,8,24.125,50.0%,25.0%,75.0%
PEN,PENBROOKE MEADOWS,7,0,100.0%,0.0%,100.0%
HAM,HAMPTONS,5,26.6,0.0%,80.0%,20.0%
PKH,PARKHILL,4,4.25,50.0%,0.0%,100.0%
HAY,HAYSBORO,4,10.5,25.0%,25.0%,75.0%
