service_request_id,requested_date,closed_date,Days _to _Resolve,Response_Catergory,Priority_Score,is_slow,source,comm_code,comm_name,longitude,latitude
24-00481193,2024-06-20,2024-06-21,1,1 Day,5,0,Other,CAM,CAMBRIAN HEIGHTS,-114.089379,51.08433917
24-00277482,2024-04-17,2024-04-17,0,Same Day,5,0,Phone,THO,THORNCLIFFE,-114.0687804,51.10310303
24-00869542,2024-11-13,2024-11-13,0,Same Day,5,0,App,COV,COVENTRY HILLS,-114.0531434,51.16490633
24-00052760,2024-01-22,2024-01-23,1,1 Day,5,0,Other,CAP,CAPITOL HILL,-114.0946312,51.07266528
24-00037005,2024-01-16,2024-01-17,1,1 Day,5,0,Other,DNC,DOWNTOWN COMMERCIAL CORE,-114.0695937,51.04727444
24-00039731,2024-01-16,2024-01-17,1,1 Day,5,0,Other,12A,12A,-113.8932315,50.96505615
24-00042549,2024-01-17,2024-01-17,0,Same Day,5,0,Phone,LKB,LAKE BONAVISTA,-114.0513367,50.93980339
24-00269461,2024-04-15,2024-04-15,0,Same Day,5,0,Other,WSP,WEST SPRINGS,-114.2066863,51.05977297
24-00269392,2024-04-15,2024-04-16,1,1 Day,5,0,Phone,RIC,RICHMOND,-114.1184203,51.02971029
24-00274694,2024-04-16,2024-04-16,0,Same Day,5,0,Other,SNA,SUNALTA,-114.1014859,51.04295989
24-00486720,2024-06-22,2024-06-22,0,Same Day,5,0,Other,LKB,LAKE BONAVISTA,-114.0512956,50.939599
24-00044422,2024-01-18,2024-01-18,0,Same Day,5,0,Phone,ST1,STONEY 1,-114.0246985,51.16118788
24-00283339,2024-04-19,2024-05-02,13,2 Weeks,2,1,Phone,MDH,MEDICINE HILL,-114.2001467,51.07918367
24-00042854,2024-01-18,2024-01-18,0,Same Day,5,0,Other,GRI,GREENVIEW INDUSTRIAL PARK,-114.0490587,51.0865182
24-00488801,2024-06-23,2024-07-29,36,Over 2 Weeks,1,1,Other,DOV,DOVER,-113.993054,51.02256772
24-00488887,2024-06-23,2024-06-23,0,Same Day,5,0,App,DNW,DOWNTOWN WEST END,-114.0877794,51.04796914
24-00048652,2024-01-19,2024-01-19,0,Same Day,5,0,Other,BNF,BANFF TRAIL,-114.1151284,51.07421633
24-00048742,2024-01-19,2024-01-19,0,Same Day,5,0,App,ING,INGLEWOOD,-114.0191258,51.03414052
24-00859862,2024-11-08,2024-12-05,27,Over 2 Weeks,1,1,Other,MCT,MCKENZIE TOWNE,-113.961353,50.91714876
24-00276248,2024-04-17,2024-04-17,0,Same Day,5,0,Other,RAM,RAMSAY,-114.0425323,51.03641206
24-00276997,2024-04-17,2024-04-17,0,Same Day,5,0,Other,OAK,OAKRIDGE,-114.129614,50.9696628
24-00276152,2024-04-17,2024-04-17,0,Same Day,5,0,Phone,EDG,EDGEMONT,-114.1439532,51.12458785
24-00276390,2024-04-17,2024-04-17,0,Same Day,5,0,Other,MON,MONTGOMERY,-114.1622482,51.07107614
24-00279107,2024-04-17,2024-04-17,0,Same Day,5,0,Other,OGD,OGDEN,-114.0124423,50.99187834
24-00507994,2024-06-28,2024-06-28,0,Same Day,5,0,Other,TEM,TEMPLE,-113.9467677,51.08879459
24-00061522,2024-01-25,2024-01-25,0,Same Day,5,0,Phone,BRD,BRIDGELAND/RIVERSIDE,-114.0350798,51.05055069
24-00049890,2024-01-20,2024-01-20,0,Same Day,5,0,Other,SOV,SOUTHVIEW,-113.9973392,51.03415221
24-00488831,2024-06-23,2024-06-24,1,1 Day,5,0,Other,CAM,CAMBRIAN HEIGHTS,-114.089379,51.08433917
24-00283233,2024-04-19,2024-04-19,0,Same Day,5,0,App,BLN,BELTLINE,-114.0551861,51.03743796
24-00292106,2024-04-22,2024-04-22,0,Same Day,5,0,App,DIS,DISCOVERY RIDGE,-114.2177188,51.01609153
24-00493994,2024-06-25,2024-06-25,0,Same Day,5,0,Other,HKS,HOTCHKISS,-113.8962495,50.91419352
24-00482439,2024-06-21,2024-06-25,4,1 Week,3,0,Other,GDL,GLENDALE,-114.1527189,51.03337139
24-00493500,2024-06-25,2024-06-25,0,Same Day,5,0,Other,NOL,NOLAN HILL,-114.1663172,51.17529369
24-00858744,2024-11-07,2024-11-29,22,Over 2 Weeks,1,1,Other,CNS,CORNERSTONE,-113.9305705,51.15735997
24-00420798,2024-06-04,2024-06-25,21,Over 2 Weeks,1,1,Other,MLI,MAYLAND,-114.0103024,51.05239256
